phi1,x1
1.439640506480937,-38.40767633043317
1.7831424346546225,-55.5642363637242
0.8928434780352043,-41.750713298325785
0.5221558671590476,-40.69807856633541
-0.1242266834795596,-31.621017591921508
-0.4586941918567179,-29.109790723047247
-0.9589953173732795,-22.096745836841116
-1.3120086659941692,-18.66555170432064
-1.7718241432532391,-12.58486552120503
-2.156615278483051,-8.469970628891408
-2.593694385893003,-3.053413994165209
-2.976610765593163,1.4328362682452815
-3.3552134310780786,6.077931465628946
-3.678790560170946,10.277789113356041
-3.9221311978965825,13.744199170117987
-4.1023689438775905,16.98482102786187
-4.210524297166059,19.26479302724022
-4.266554072727651,21.601481356551783
-4.235486370457657,22.810681390676212
-4.223960597402165,24.565909963408775
-4.210419030621926,25.77023563565752
-4.288795714423201,27.955249965910006
-4.458387218360166,30.20669778681183
-4.7404906461956005,33.46524183747914
-5.042876479878609,36.48518315630142
-5.383235468746225,39.935175772098845
-5.7183454447294615,43.0112472741124
-6.019405819376156,45.87462361341441
-6.227250823602724,47.94546204236566
-6.352527181847464,49.48312520375019
-6.439957713683897,50.62168150518749
-6.499711430080941,51.43899621555633
-6.523955601638656,51.97419723878051
-6.505096474482398,52.11064771048164
-6.447954245401425,51.963437706207245
-6.349195222981759,51.45329033927792
-6.221409315434822,50.72837056460811
-6.079089290010983,49.783619861261265
-5.941886099209107,48.877204634649274
-5.821229173965482,47.96399206746353
-5.745742531497791,47.25216415026879
-5.693642920533725,46.64700865892449
-5.6600923909436425,46.105847879458906
-5.64733667935698,45.585109825094996
-5.668506692818732,45.23351622925277
-5.7063951347875275,44.92466644165951
-5.752496564723098,44.57520839653871
-5.80493621108545,44.18863720763499
-5.842092482591595,43.63851781390074
-5.865557093117491,42.89392905529245
-5.872061107349448,41.95851295591392
-5.839790620745168,40.643303472651475
-5.745170236582879,38.79782038911713
-5.560816742479586,36.23504473632249
-5.303161790512065,33.08074240556573
-4.976987315502285,29.36622360521129
-4.5930361029015865,25.15001868966336
-4.173491255650917,20.601059802465464
-3.730997608815972,15.803512157527583
-3.2708621677104657,10.766081332965642
-2.8011053340748653,5.6102789559573765
-2.2996315934295875,0.18248400244250917
-1.7470340751134106,-5.611491783604478
-1.1357775860805313,-11.803575808350445
-0.4822926354321291,-18.286378608992504
0.18156329412664118,-24.811549501816604
0.8273431433823053,-31.231410256166033
1.4474395734979428,-37.440255529106054
2.0223679380883595,-43.32577382588524
2.5441610511825794,-48.83538071543448
3.010239516823676,-53.90894311275253
3.4273355158812366,-58.57824247433019
3.7946788850508733,-62.88990593480001
4.104791176543992,-66.77472949684511
4.354912638313586,-70.18815363113643
4.550729366963543,-73.17974153128488
4.682943712220131,-75.63022174426347
4.738347202754216,-77.48073610604898
4.718043775083368,-78.7594545812575
4.611280090922159,-79.3806111538844
4.444363061642516,-79.5106209575932
4.216569440016115,-79.12086813825492
3.9324370302372444,-78.33487884050709
3.5959406470582547,-77.11565834414587
3.2161254715306655,-75.55479578906579
2.796229558973038,-73.65497625142703
2.3502223318654436,-71.57307655342612
1.885044169782573,-69.32242701319258
1.4251875280610933,-67.05360675218985
0.9902913723608696,-64.91421623360493
0.5867342449157896,-62.98702451752765
0.24764063720174606,-61.46753015781757
-0.01545883348604778,-60.43941362518662
-0.20271035727510442,-59.905163141205115
-0.31526303602783895,-59.848005152567616
-0.3454747842584183,-60.34193457197162
-0.3007637408477265,-61.35451667195717
-0.17893375890143207,-62.890248070777076
0.023660904473390088,-64.95152954542536
